Gender,Parental_Education,Test_Preparation,Study_Time_per_Week,Daily_Sleep_Duration,RaceEthnicity_group_B,RaceEthnicity_group_C,RaceEthnicity_group_D,RaceEthnicity_group_E,School_Type_private,School_Type_public,Internet_Access_True,Target,Reading_Score_was_missing,Writing_Score_was_missing
1,2.0,False,12.4,5.4,True,False,False,False,False,True,True,1,0,0
0,1.0,False,18.3,5.1,False,False,True,False,False,True,False,1,0,0
0,1.0,True,11.8,7.8,True,False,False,False,False,True,False,2,0,0
0,1.0,False,9.67504285224546,7.3,False,False,False,True,False,True,True,1,0,0
1,1.0,True,12.9,6.3,False,True,False,False,False,True,True,1,1,0
1,2.0,False,10.1,6.4,False,False,False,True,False,True,True,1,1,0
1,2.0,False,10.144616336633618,4.7,False,False,False,True,False,True,True,1,1,0
0,2.0,False,11.1,7.0,True,False,False,False,True,False,True,1,0,0
0,1.0,False,3.8,7.0,False,True,False,False,False,False,False,1,0,0
1,2.0,False,15.0,7.3,True,False,False,False,False,True,False,1,0,0
1,2.0,True,11.3,7.205098308184721,False,False,False,True,True,False,True,1,0,1
1,2.0,True,8.9,9.7,False,False,False,True,False,True,True,0,0,0
0,1.0,False,18.4,6.4,False,False,False,True,False,True,False,1,0,0
0,1.0,False,6.9,8.6,False,False,True,False,False,True,True,1,0,1
0,2.0,True,6.9,8.2,False,True,False,False,False,True,True,1,0,0
0,2.0,True,20.5,6.7,False,True,False,False,False,True,True,1,0,0
1,2.0,False,8.3,7.143064409760401,True,False,False,False,True,False,True,1,0,0
1,2.0,False,15.9,9.2,False,False,True,False,False,True,True,1,0,0
0,1.0,True,5.0,6.1,False,True,False,False,False,True,True,1,1,0
1,2.0,True,10.2,7.0,True,False,False,False,True,False,True,1,0,0
1,1.0,True,12.6,8.6,True,False,False,False,False,False,True,1,0,0
0,2.0,True,13.0,7.7,False,False,False,False,False,True,True,1,1,0
1,2.0,False,21.0,8.3,False,False,True,False,False,True,False,1,0,0
1,1.0,False,8.9,6.1,False,False,True,False,True,False,True,2,0,0
0,1.0,False,3.7,6.9,False,True,False,False,False,False,False,1,0,0
1,2.0,True,12.6,7.5,False,False,True,False,False,False,True,1,1,0
0,2.0,False,6.5,8.3,True,False,False,False,False,True,True,1,0,0
0,2.0,True,10.228547945205472,7.2,False,True,False,False,False,False,True,1,0,0
1,2.0,True,16.7,8.5,False,False,True,False,False,True,True,2,0,1
0,1.0,True,0.0,7.2,False,False,False,True,False,False,True,1,0,0
1,2.0,True,6.2,4.6,False,False,False,True,False,True,True,1,1,0
0,1.0,False,9.5,6.8,False,False,False,True,False,False,True,2,0,0
0,2.0,False,7.7,7.9,False,False,False,False,False,True,True,1,0,0
1,1.0,False,6.1,7.6,True,False,False,False,False,True,True,1,0,0
0,2.0,False,18.6,8.8,True,False,False,False,False,True,False,1,0,0
1,2.0,False,9.7,4.2,False,True,False,False,False,True,False,1,0,0
0,1.0,False,16.8,6.2,False,False,True,False,False,True,True,1,0,0
1,1.0,False,15.2,5.9,False,True,False,False,True,False,True,1,0,0
1,1.0,True,15.8,7.6,False,False,False,True,False,True,True,1,0,0
1,1.0,False,7.6,6.5,True,False,False,False,False,True,False,1,0,0
0,1.0,True,8.7,6.9,True,False,False,False,False,True,True,2,0,0
1,2.0,False,16.2,5.3,False,True,False,False,False,True,True,1,0,0
1,1.0,False,12.4,7.205098308184721,False,False,False,True,False,True,False,1,0,0
1,2.0,True,12.4,7.1,False,False,True,False,False,True,True,1,1,0
0,2.0,False,15.5,8.2,False,True,False,False,False,True,True,1,0,0
0,2.0,False,12.1,4.4,False,False,False,True,False,True,True,1,0,0
1,2.0,True,9.4,5.0,False,False,True,False,True,False,True,1,0,0
0,2.0,False,10.4,6.2,False,False,True,False,True,False,True,1,0,0
1,1.0,True,0.0,6.2,False,True,False,False,True,False,True,1,0,0
0,1.0,False,15.1,7.8,False,False,False,False,False,True,True,2,0,0
1,1.0,False,15.0,6.0,False,False,False,True,False,True,True,1,0,0
1,1.0,True,15.9,7.2,False,True,False,False,False,True,False,1,0,0
0,2.0,False,10.228547945205472,7.2,False,True,False,False,False,False,True,1,0,0
1,1.0,False,10.3,5.3,False,False,True,False,False,True,True,1,0,0
1,2.0,True,8.2,7.1,True,False,False,False,True,False,True,2,0,0
1,1.0,False,8.8,10.7,True,False,False,False,True,False,True,1,0,0
0,1.0,False,13.4,5.6,False,False,False,False,False,True,True,1,0,0
1,1.0,False,9.638693467336676,8.3,False,False,False,False,False,True,True,1,0,0
1,1.0,False,12.2,8.6,False,False,False,True,False,True,True,1,1,0
0,2.0,False,17.6,7.5,False,False,False,True,False,True,True,1,0,0
1,1.0,False,12.2,8.7,True,False,False,False,False,True,True,1,0,0
0,1.0,False,2.4,6.1,False,False,True,False,False,True,True,1,0,0
1,2.0,True,3.9,8.7,True,False,False,False,False,True,True,1,0,0
1,1.0,True,1.2,7.308729846637806,False,False,False,True,False,True,False,1,0,0
1,1.0,False,0.4,8.4,False,False,True,False,False,True,False,1,0,0
1,2.0,False,19.7,9.0,True,False,False,False,False,True,False,1,0,0
0,2.0,True,0.5,5.6,False,False,False,True,False,True,False,1,0,0
0,1.0,True,10.5,7.5,False,False,True,False,True,False,True,1,0,0
1,1.0,False,3.4,9.9,False,False,True,False,True,False,True,1,0,0
1,2.0,False,15.3,8.1,True,False,False,False,True,False,True,1,0,0
0,2.0,False,10.6,7.9,False,True,False,False,False,True,True,1,0,0
0,2.0,True,7.6,6.0,True,False,False,False,False,True,True,1,0,0
0,2.0,False,12.3,7.0,False,False,False,True,False,True,True,1,0,0
1,1.0,False,10.2,11.0,True,False,False,False,True,False,True,1,0,0
1,1.0,True,21.1,10.0,True,False,False,False,False,True,False,1,0,0
1,2.0,False,15.8,7.1,False,True,False,False,False,True,True,1,0,0
1,1.0,False,19.7,7.0,False,False,False,True,True,False,False,1,0,0
0,2.0,True,15.4,6.0,True,False,False,False,False,False,True,1,0,0
1,2.0,True,9.4,7.4,True,False,False,False,False,False,True,1,0,0
0,1.0,False,5.2,7.6,True,False,False,False,True,False,False,1,0,1
1,1.0,False,16.0,5.9,False,False,False,True,False,True,True,1,0,0
0,2.0,True,12.4,6.2,False,False,True,False,False,True,True,1,1,0
1,2.0,True,15.8,10.5,True,False,False,False,True,False,True,1,0,0
0,2.0,True,9.0,8.8,False,False,True,False,False,True,True,1,0,0
0,1.0,True,4.6,8.5,False,False,False,False,False,True,True,1,0,0
1,1.0,True,6.5,7.180375318066144,True,False,False,False,True,False,True,1,0,0
0,2.0,False,17.3,6.7,False,False,False,True,False,True,True,1,1,0
0,2.0,True,5.3,5.7,False,True,False,False,True,False,False,1,0,1
0,2.0,False,2.4,6.9,False,True,False,False,True,False,True,1,1,0
1,1.0,True,11.0,6.7,False,True,False,False,False,True,True,1,0,0
0,1.0,True,2.7,6.5,False,True,False,False,False,True,True,1,1,0
1,1.0,False,10.1,7.7,True,False,False,False,False,True,True,2,0,0
0,1.0,True,5.5,6.7,False,False,False,False,False,True,True,1,0,0
0,1.0,False,6.8,7.0,False,False,False,False,False,True,False,1,1,0
1,1.0,False,12.3,9.3,False,False,False,False,False,True,True,0,0,0
1,2.0,False,11.0,8.0,False,False,False,True,False,True,False,1,0,0
0,1.0,True,7.1,5.6,False,False,False,True,False,False,True,1,0,0
0,1.0,False,7.1,8.3,True,False,False,False,False,True,False,1,0,0
0,2.0,False,0.0,8.0,False,False,False,False,False,True,True,1,0,0
0,1.0,False,10.4,6.5,False,False,False,True,False,True,False,1,0,0
1,2.0,True,11.1,5.1,False,False,False,True,False,True,True,2,0,0
